Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
SAF,N,AP85084,WHINC,6,M,0,1,80,13.4,07,45,06,03,2011,ACESB,DTC,0,B,2,0,0,
SAF,N,AP85318,WHINC,3,M,0,2,73,,07,30,24,11,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,AP85448,WHINC,3,F,0,2,75,13.2,07,30,03,11,2011,ACESB,DTC,0,O,0,0,0,
SAF,N,FA73928,WHINC,4,N,4,3,78,19,10,30,07,04,2007,ACESA,MCS,0,M,2,2,1,
SAF,N,FA73933,WHINC,5,M,1,2,75,17.2,12,00,07,04,2007,ACESA,MCS,,M,0,0,1,
SAF,N,FA74277,WHINC,3,,0,2,80,14.2,08,00,25,10,2007,ACESB,MCS,,O,0,1,1,
SAF,N,FA87368,WHINC,4,M,3,3,73,17,07,06,23,04,2011,ACESB,YBP,0,O,0,0,,
SAF,N,FA87429,WHINC,2,F,8,2,76,23.8,07,30,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,FA87431,WHINC,5,M,6,2,74,25.9,08,45,26,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,L10903,WHINC,4,,6,3,75,,07,00,05,05,2010,JVOM,APT,,O,0,0,,
SAF,N,L29733,WHINC,4,M,6,2,76,23.2,09,00,26,04,2010,ACESB,DTC,0,M,1,1,,
SAF,N,L29782,WHINC,4,F,7,2,77,22.7,07,45,29,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,L29789,WHINC,5,,5,1,76,19.5,08,15,29,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,L29790,WHINC,5,M,5,2,77,18.1,08,15,29,04,2010,ACESB,DTC,0,O,0,0,,
SAF,N,L44218,WHINC,3,M,0,1,81,14.5,08,30,30,10,2011,ACESB,DTC,0,O,0,0,0,
BTO,N,R003934,WHINC,5,F,5,2,74,18.3,11,15,12,04,2002,AEOGU,RMG,0,O,,,,
BTO,N,R003946,WHINC,5,F,5,2,75,17.6,09,00,13,04,2002,AEOGU,RMG,0,O,,,,
BTO,N,R003949,WHINC,5,M,6,2,,21.3,07,45,14,04,2002,JROCK,RMG,0,O,,,,
BTO,N,R003959,WHINC,5,M,7,2,80,27.3,08,30,15,04,2002,AEOGU,RMG,0,O,,,,
BTO,N,R003967,WHINC,5,F,7,2,73,19.7,10,15,15,04,2002,AEOGU,RMG,0,O,,,,
BTO,N,R003973,WHINC,5,F,6,2,74,19.3,07,30,16,04,2002,AEOGU,RMG,0,O,,,,
BTO,N,R038635,WHINC,4,F,0,1,78,14.7,08,45,01,12,2002,ACESB,RMG,0,O,,,,
BTO,N,R038647,WHINC,4,F,0,2,73,15.5,10,15,01,12,2002,ACESB,RMG,0,O,,,,
BTO,N,R038648,WHINC,3,F,0,2,75,15.7,10,15,01,12,2002,ACESB,RMG,0,O,,,,
BTO,N,R038650,WHINC,3,M,0,2,75,16.3,10,45,01,12,2002,ACESB,RMG,0,O,,,,
BTO,N,R038670,WHINC,3,F,0,2,78,15.1,10,15,02,12,2002,ACESB,RMG,0,O,,,,
BTO,N,R038982,WHINC,4,F,4,1,78,16,09,45,06,04,2003,ACESB,DBN,0,O,,,,
